track_name,artistas,track_popularity,track_album_name,playlist_genre,playlist_subgenre,followers,popularity,imagem_artista_url
Throne,Bring Me The Horizon,68,That's The Spirit,rock,hard rock,2884377.0,77.0,https://i.scdn.co/image/b62d0034006e7ed561bf7747c058964edf0fdf84
First Off (feat. Travis Scott),Future,69,Future Hndrxx Presents: The WIZRD,rap,trap,8603164.0,91.0,https://i.scdn.co/image/287c505d7b76d3971a8c5b2fbb3935f9b2dbc3ce
Eye of the Tiger,The Rural Alberta Advantage,8,Drain The Blood b/w Eye Of The Tiger,r&b,hip pop,,,
Turn The Music Up! - Radio Edit,Wildstylez,22,Turn The Music Up!,edm,big room,,,
Paint California,NoMBe,53,Paint California,rock,permanent wave,,,
2 Schüsse in die Luft,Baba Saad,21,Yayo Tape II,rap,gangster rap,,,
Heartbeat - Original Mix,John Dahlbäck,0,Heartbeat,edm,big room,,,
Suave - Remix,Jey Blessing,70,Suave (Remix),latin,latin pop,,,
Evidencia,Baby Rasta & Gringo,61,Evidencia,rap,trap,,,
In the Moment,Silo,36,In the Moment - EP,r&b,neo soul,,,
La Paleta (feat. C-Kan),MC Davo,60,La Paleta (feat. C-Kan),rap,hip hop,,,
Chant To Mother Earth,BLO,31,Phases 1972-1982,rock,classic rock,,,
Mustapha - Remastered 2011,Queen,43,Jazz (2011 Remaster),rock,album rock,25221186.0,89.0,https://i.scdn.co/image/b040846ceba13c3e9c125d68389491094e7f2982
Flaws,Bastille,51,Bad Blood,pop,post-teen pop,4237513.0,81.0,https://i.scdn.co/image/7fd538c4aa21542d840e17773e6c8802196d1c4d
La Vida Entera,Camila,65,La Vida Entera,latin,latin pop,,,
Good Idea,SLATIN,38,Good Idea,edm,electro house,,,
Jealous,Beyoncé,55,BEYONCÉ [Platinum Edition],rap,southern hip hop,22612079.0,88.0,https://i.scdn.co/image/9fef2047e4e3f05031807d5fa9e121b7862ba259
Liquid Blue,The.madpix.project,24,Liquid Blue,pop,electropop,,,
Al Filo de Tu Amor,Carlos Vives,4,Al Filo de Tu Amor,latin,latin pop,3762829.0,74.0,https://i.scdn.co/image/88a422901eeafffce1c744202597b7dcf37fa7c2
Contigo Quiero Estar,Mark Cast,47,Contigo Quiero Estar,latin,latin pop,,,
MidStation,the.lazyb,42,Immerse,rap,hip hop,,,
Back To Back,Drake,69,Back To Back,rap,gangster rap,46297755.0,98.0,https://i.scdn.co/image/012ecd119617ac24ab56620ace4b81735b172686
I Got the Keys (feat. Jay-Z & Future),DJ Khaled,53,I Got the Keys (feat. Jay-Z & Future),latin,latin hip hop,4671610.0,78.0,https://i.scdn.co/image/94e2383b16d3a8f0af23b45ab9edd767b4107bbf
Look At Her Now,Selena Gomez,86,Look At Her Now,r&b,hip pop,20346451.0,89.0,https://i.scdn.co/image/dc6dd5ccdccee8c947b41af13e3b60ce0a235708
Won't Trade,Q-Tip,30,The Renaissance,rap,gangster rap,,,
drive all night,joan,50,drive all night,pop,indie poptimism,,,
It's You - Ron Basejam Remix,The White Lamp,0,It's You,edm,progressive electro house,,,
Broken,Lund,77,Broken,rap,trap,,,
Feeling Right (Everything Is Nice) (feat. Popcaan & Wale),Matoma,41,Feeling Right (Everything Is Nice) [feat. Popcaan & Wale],pop,indie poptimism,604753.0,73.0,https://i.scdn.co/image/268ac98b3b94c60dca9bf46ee5bc275df706c30e
I Don't Care (with Justin Bieber),Ed Sheeran,90,I Don't Care (with Justin Bieber),latin,latin hip hop,62638197.0,94.0,https://i.scdn.co/image/f55cab0739390cf3b2c2f773b9c779b2f0ae8a99
If You're Gonna Lie,FLETCHER,66,you ruined new york city for me,pop,indie poptimism,214138.0,71.0,https://i.scdn.co/image/3c4bdb8380f9d9065cba040f3716f84669e9b6ef
Our Show,Ericé,39,Our Show,latin,tropical,,,
"Class-Sikh Maut, Vol. II",Prabh Deep,45,"Class-Sikh Maut, Vol. II",rap,hip hop,,,
Shimmy Shimmy Ya,Ol' Dirty Bastard,1,Rhino Hi-Five: Ol' Dirty Bastard,rap,gangster rap,,,
Electric Love,BØRNS,75,Dopamine,pop,indie poptimism,,,
"Pekeño 77: Bzrp Music Sessions, Vol. 5",Bizarrap,42,"Pekeño 77: Bzrp Music Sessions, Vol. 5",rap,trap,879299.0,78.0,https://i.scdn.co/image/c2ce59dc0f1b49ce094f7fc6ba1cb23b7854c46a
Ridin' the Storm Out,REO Speedwagon,47,Ridin' the Storm Out,rock,album rock,,,
Kryptonite,3 Doors Down,77,The Better Life,rock,permanent wave,,,
Breathe,T-Mass,32,Breathe,rap,trap,,,
Closer (feat. Halsey),The Chainsmokers,85,Closer (feat. Halsey),pop,post-teen pop,15949888.0,88.0,https://i.scdn.co/image/960547a625bc2eb742bb3dd170cbc049d2e94cf9
Black Horse And The Cherry Tree,KT Tunstall,59,Eye To The Telescope,rock,album rock,,,
Airplanes,Local Natives,49,Gorilla Manor,pop,dance pop,,,
Money Maker - Mike Williams Remix,Throttle,0,Money Maker (Remixes),edm,electro house,,,
Attention,Charlie Puth,23,Attention,pop,dance pop,10070721.0,82.0,https://i.scdn.co/image/6402030b18deb0ba5d7cdbf2e6727a1f36c86030
Disimulas,Alex Rose,57,LOST,rap,trap,1276482.0,79.0,https://i.scdn.co/image/2b0bf8bf23f55c76090cde006b99dd0cca67a872
"Para, Money, E's",JIGGO,66,"Para, Money, E's",rap,hip hop,,,
Verbania,Wun Two,44,Verbania,rap,hip hop,,,
Whistle,Flo Rida,76,Wild Ones,edm,pop edm,7560177.0,80.0,https://i.scdn.co/image/2d0b5f483c7ed95b7c3c63147c3d38f9366b2c21
Loving Is Easy,Rex Orange County,80,Loving Is Easy,pop,indie poptimism,1992004.0,81.0,https://i.scdn.co/image/e85ed2c96c618b12433c7e6126ccb7771b469f3e
Mwaka Moon - Remix,Kalash,62,Mwaka Moon (Remix),rap,trap,337390.0,62.0,https://i.scdn.co/image/fd2df5eccde33d5685f76fea98c355311f16ad12
Buggin' - Edit,Hot Since 82,46,Buggin',edm,progressive electro house,,,
Hang on to Yourself,Palaye Royale,55,Hang on to Yourself,rock,permanent wave,,,
Solidarity,Angelic Upstarts,33,Reason Why?,pop,electropop,,,
Grazed by Heaven,Uriah Heep,36,Living the Dream,rock,classic rock,,,
Liar,Camila Cabello,87,Liar,pop,dance pop,15948075.0,90.0,https://i.scdn.co/image/667daebca4856db3f4cbe8f51a4881091e62c401
NO,Meghan Trainor,69,Thank You (Deluxe Version),pop,dance pop,8922220.0,80.0,https://i.scdn.co/image/d36be4a159ad3f66c13c81c9a2bdd49dcd4e6700
shut up,Greyson Chance,68,portraits,r&b,hip pop,,,
striptease,carwash,48,striptease,pop,indie poptimism,,,
La Playa,Myke Towers,79,La Playa,latin,reggaeton,1588732.0,90.0,https://i.scdn.co/image/fb101c441d2fed8425b41fcdc705e6a73c20f099
Guess Who's Back,Scarface,52,Greatest Hits,rap,southern hip hop,,,
Pretty Pimpin,Kurt Vile,66,b'lieve i'm goin down...,r&b,hip pop,,,
Tak Takie,U-niq,15,Het Kapitalisme,rap,southern hip hop,,,
Trap Paris (feat. Quavo & Ty Dolla $ign),Machine Gun Kelly,59,bloom,rap,hip hop,2027274.0,82.0,https://i.scdn.co/image/5b23ea08515f988732474d4310e615356f19c21b
F--- The Ying Yang Twins,Ying Yang Twins,18,United States Of Atlanta,rap,southern hip hop,,,
Pour Some Sugar On Me,Def Leppard,2,Hysteria (Deluxe Edition),rock,hard rock,,,
The Universe Is Ours,Headhunterz,39,The Universe Is Ours,edm,big room,,,
Sweet Child O' Mine,Pickin' On Series,36,The Bluegrass Tribute to Guns N' Roses,r&b,hip pop,,,
Never Forget You,Zara Larsson,14,Never Forget You,pop,indie poptimism,7051441.0,83.0,https://i.scdn.co/image/4335f7f59f44a02afd4a94fed0bee7615414c88b
Animals (feat. Moa Lisa) - Alora & Senii Remix,Charlie Who?,27,Animals (feat. Moa Lisa) [Remixes],edm,electro house,,,
Take Over,Gavlyn,6,Modest Confidence,r&b,urban contemporary,,,
ANGST II,MESSIAH!,41,ANGST II,rap,hip hop,,,
Teenagers,My Chemical Romance,77,The Black Parade,rock,permanent wave,,,
Celebramos - Artury Pepper Remix,Ariel Ramírez,0,Celebramos (Artury Pepper Remix),latin,latin hip hop,,,
This Is What You Came For - R3hab X Henry Fong Remix,Calvin Harris,2,This Is What You Came For (Remixes),edm,electro house,19909725.0,87.0,https://i.scdn.co/image/1fd90cd274102d458ec3a9243ced32e659738133
Kung Wala Ka,Hale,51,Hale,rock,classic rock,,,
Dreamcatcher (feat. Swae Lee & Travis Scott),Metro Boomin,2,NOT ALL HEROES WEAR CAPES,r&b,urban contemporary,1814243.0,81.0,https://i.scdn.co/image/8986705c72b71411c261c0f9eb65b6a2c04cfe90
Drive Me Crazy,Funky XV,38,Drive Me Crazy,latin,latin pop,,,
Listen to the Music,The Doobie Brothers,75,Toulouse Street,rock,album rock,,,
Dance No More,OUTRAGE,5,Dance No More,edm,big room,,,
Rebound,Leo Reyes,22,Rebound,edm,progressive electro house,,,
Bathing Suit Body,Badpojken,41,Bathing Suit Body,edm,electro house,,,
Love Shoulda Brought You Home,Toni Braxton,43,Toni Braxton,r&b,new jack swing,,,
Tell Me,RL Grime,38,Tell Me,rap,trap,,,
"Pretty Bitches In The Trap (Extended Remix) (feat. Gucci Mane, Tokyo Jetz & Trouble)",Summerella,47,"Pretty Bitches In The Trap (Extended Remix) [feat. Gucci Mane, Tokyo Jetz & Trouble]",r&b,neo soul,,,
Doo Wop (That Thing),Ms. Lauryn Hill,7,The Miseducation of Lauryn Hill,r&b,neo soul,,,
It's Strange (feat. K.Flay),Louis The Child,2,It's Strange (feat. K.Flay),pop,indie poptimism,349472.0,73.0,https://i.scdn.co/image/21821ae7fd8d4a61a8aec1fe3bffb1c574330e5c
Anytime,Brian McKnight,0,Night Grooves,r&b,new jack swing,,,
I'll Be Gone,MW Vibes,0,Massive Workout Vibes,edm,pop edm,,,
White Trash Millionaire,Black Stone Cherry,56,Between The Devil & The Deep Blue Sea (Special Edition),rap,southern hip hop,,,
Olympia,Falling North,45,Olympia,rap,trap,,,
Close To Me,G-Unit,0,T.O.S. (Terminate On Sight),rap,gangster rap,,,
Closer (Ode 2 U),Ravyn Lenae,48,Crush EP,r&b,neo soul,,,
Last Kiss,Pearl Jam,0,rearviewmirror (greatest hits 1991-2003),rock,permanent wave,,,
Somebody - Remix,Depeche Mode,36,Some Great Reward (Deluxe),rock,permanent wave,,,
Nothing But God,Dave Hollister,14,The Book Of David: Vol. 1 The Transition,r&b,neo soul,,,
ease your mind,joan,52,ease your mind,pop,indie poptimism,,,
