artist_id	name	followers	popularity	genres	image_url
1WgXqy2Dd70QQOU7Ay074N	AURORA	923204	75	['norwegian pop']	https://i.scdn.co/image/87b5228e7ab1c8cc2cf4ec6f3709a9b1cd7f2981
2dXKh2aHr7RS2RVPlWJoUS	MHD	2707	24	[]	https://i.scdn.co/image/ab67616d0000b273c4141bc1876aa54ea06b2aa8
293zczrfYafIItmnmM3coR	Chuck Berry	1103439	67	['blues rock', 'classic rock', 'folk rock', 'rock', 'rock-and-roll', 'rockabilly', 'roots rock', 'soul']	https://i.scdn.co/image/d58323616d4f5d22b51e9dfe0ba53aedabe53cd4
4DqRDyrUuJO8CuxfgVCU3m	Hasan.K	38	29	[]	
1U5zgr455OGyIkLNXvDdrf	Traditional	26672	64	['sleep']	https://i.scdn.co/image/ab67616d0000b273765aa4ad5c3c2effaa829677
3OZZeMIZnTvQKjfQEEqx6C	The Kingdom Choir	7789	42	[]	https://i.scdn.co/image/98fd09c1a30f33af7666a3a1ab37e1fcb2cf7e31
4sVieJlKgpZ2k9ESNS5IdN	Jamule	97997	71	['german hip hop']	https://i.scdn.co/image/4c4d11fa1e9ba69a532803288d93ce139d03fb9c
3t8WiyalpvnB9AObcMufiE	Mahmut Orhan	363044	59	['groove room', 'turkish edm']	https://i.scdn.co/image/3f17566bcb7448810e14adcbcced7f92bd50c4b3
2wUjUUtkb5lvLKcGKsKqsR	Alessia Cara	7037537	82	['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']	https://i.scdn.co/image/56dcc0e8f919ea86b139b4ccd084439e10a8704e
66TrUkUZ3RM29dqeDQRgyA	Ella Eyre	563949	70	['dance pop', 'pop', 'tropical house', 'uk pop']	https://i.scdn.co/image/8525e31ee091ab322e5b358a0106acabd317966a
4iCwCMnqsNZ6atvRiADgtn	RZA	283238	61	['alternative hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop']	https://i.scdn.co/image/d43df9a493a28ae01726b6ef33e91aad52bceb4e
2KC9Qb60EaY0kW4eH68vr3	ITZY	609308	76	['k-pop', 'k-pop girl group']	https://i.scdn.co/image/a306027115842466c0b4d66426cdc6e1c0e9a4da
671rzkqkntmDIprTkmnWKQ	Justice	98	31	[]	https://i.scdn.co/image/ab67616d0000b273f0726959b1a3f6b4f37b4410
